ProductId,Gender,ColorGroup,ProductType
647987,erkek,beyaz,sweatshirt
648143,kadin,kahverengi,ceket
648182,kadin,kahverengi,elbise
648514,erkek,bordo,ayakkabi
648552,kadin,siyah,tulum
649272,erkek,kahverengi,sweatshirt
649392,erkek,mavi,bot
649942,kadin,yesil,lifestyle-ayakkabi
649957,kadin,kahverengi,lifestyle-ayakkabi
650490,kadin,lacivert,bot
650499,kadin,beyaz,polar-sweatshirt
650556,kadin,beyaz,jean-pantolon
650680,kadin,siyah,tulum
650744,kadin,kahverengi,t-shirt
650877,kadin,kahverengi,ceket
651074,kadin,gri,bra
651075,kadin,gri,tayt
651077,kadin,gri,tayt
651216,kadin,yesil,bot
651239,kadin,siyah,bot
651240,kadin,siyah,bot
651241,kadin,siyah,bot
651309,kadin,kahverengi,elbise
651459,kadin,beyaz,bot
651869,kadin,siyah,bot
652233,kadin,siyah,bot
652236,kadin,gri,bot
652238,kadin,beyaz,bot
652777,kadin,gri,yelek
652781,kadin,kahverengi,pantolon
652819,kadin,bej,yelek
653156,erkek,lacivert,bot
653170,kadin,kahverengi,outdoor-ayakkabi
653227,erkek,yesil,bot
653381,kadin,bej,bot
653902,erkek,bej,takim-elbise
653958,erkek,yesil,bot
653987,kadin,kahverengi,bot
654006,kadin,gri,yelek
654007,kadin,kahverengi,pantolon
654224,erkek,bej,sweatshirt
654259,kadin,kahverengi,tayt
654905,kadin,bej,bot
654909,erkek,bej,sweatshirt
654939,kadin,bej,bot
655030,erkek,lacivert,bot
655322,kadin,kahverengi,pantolon
655701,kadin,gri,yelek
655733,kadin,bej,ceket
656225,erkek,kahverengi,lifestyle-ayakkabi
656514,kadin,kahverengi,t-shirt
656552,kadin,gri,sweatpant
656561,kadin,gri,yelek
656576,kadin,gri,bot
656613,kadin,bordo,tayt
657547,erkek,beyaz,yelek
657602,erkek,kahverengi,yelek
657614,kadin,mavi,sweatshirt
657685,kadin,bordo,etek
658113,kadin,lacivert,yelek
658340,kadin,kahverengi,bot
658341,kadin,lacivert,bot
658954,erkek,bordo,takim-elbise
658970,erkek,beyaz,sweatshirt
659490,erkek,bordo,sweatshirt
659491,erkek,yesil,sweatshirt
659492,erkek,kahverengi,sweatshirt
659493,erkek,mavi,sweatshirt
